dropdown,topconcept
GEOMETRY_TYPE.E55,
HERITAGE_CLASSIFICATION_TYPE.E55,Heritage Place Classification
HERITAGE_FEATURE_USE_TYPE.E55,Feature Use
HERITAGE_PLACE_TYPE.E55,Setting Type
IDENTIFIER_TYPE.E55,Identifier Type
IMAGERY_BANDS_TYPE.E55,Imagery Bands Type
IMAGERY_CAMERA_SENSOR_RESOLUTION_TYPE.E55,Imagery Camera Sensor Resolution Type
IMAGERY_CAMERA_SENSOR_TYPE.E55,Imagery Camera Sensor Type
IMAGERY_PLATFORM_TYPE.E55,Imagery Platform Type
IMAGERY_SAMPLED_RESOLUTION_TYPE.E55,Imagery Sampled Resolution Type
IMAGERY_SENSOR_TYPE.E55,Imagery Sensor Type
IMAGERY_SOURCE_TYPE.E55,Imagery Source Type
INFORMATION_CARRIER_FORMAT_TYPE.E55,Information Carrier Format Type
INFORMATION_RESOURCE_TYPE.E55,Information Resource Type
INTERPRETATION_CERTAINTY.I6,Feature Evidence Interpretation Certainty Type
INTERPRETATION_NUMBER_TYPE.E55,Feature Evidence Interpretation Number Type
INTERPRETATION_TYPE.I4,Feature Evidence Interpretation Type
INTERVENTION_ACTIVITY_TYPE.E55,Intervention Activity Type
INTERVENTION_MITIGATION_TYPE.E55,
INVESTIGATION_ACTIVITY_TYPE.E55,
INVESTIGATOR_ROLE_TYPE.E55,Investigator Role
KEYWORD.E55,
LANGUAGE.E55,Language
LOCATION_CERTAINTY.I6,Site Location Certainty Type
LOCATION_TYPE.E55,
MAP_SOURCE_TYPE.E55,Map Source Type
MATERIAL.E57,
MEASUREMENT_SOURCE_TYPE.E55,
MEASUREMENT_UNIT.E58,Unit Of Measurement
MITIGATION_PRIORITY_TYPE.E55,
MITIGATION_STRATEGY_TYPE.E55,
MODERN_COUNTRY_TERRITORY.E55,Modern Country Territory
MODIFICATION_TECHNIQUE_TYPE.E55,
MODIFICATION_TYPE.E55,Modification Type
NAME_TYPE.E55,Name Type
NEXT_ASSESSMENT_DATE_TYPE.E55,Date of Next Assessment
ORGANISATION_TYPE.E55,Organisation Type
OVERALL_ARCHAEOLOGICAL_CERTAINTY_TYPE_DEFINITION.S9,
OVERALL_ARCHAEOLOGICAL_CERTAINTY_VALUE.I6,Site Overall Archaeological Certainty Type
OVERALL_CONDITION_REMARKS_TYPE.E55,
OVERALL_CONDITION_STATE_TYPE.E55,
OVERALL_CONDITION_TYPE.E55,Condition
OVERALL_DAMAGE_SEVERITY_TYPE.E55,
OVERALL_PRIORITY_TYPE.E55,
PERIOD_CERTAINTY_BELIEF_VALUE.I6,
PERIOD_TYPE.I4,
POTENTIAL_IMPACT_TYPE.E55,Impact Type
PRIORITY_TYPE.E55,Priority Level
PROCESSING_TYPE.E55,Processing Type
PROJECTION_TYPE.E55,Projection Type
RECOMMENDATION_TYPE.E55,Recommendation Type
RIGHT_TYPE.E55,Right Type
RISK_EXTENT_TYPE.E55,Risk Extent
RISK_LEVEL.I4,Risk Level
RISK_LEVEL_CERTAINTY.I6,Risk Probability
RISK_SEVERITY_TYPE.E55,Risk Severity
SCALE_TYPE.E55,Scale Type
SECONDARY_THREAT_TYPE.E55,
SERIES_TYPE.E55,Series Type
SITE_OVERALL_SHAPE_TYPE.E55,Site Overall Shape Type
TECHNIQUE_TYPE.E55,
THREAT_CATEGORY.I4,Threat Cause Type
THREAT_INFERENCE_MAKING_ASSESSOR.E39,
THREAT_PROBABILITY.I6,Threat Certainty Type
THREAT_PROBABILITY_TYPE.E55,Threat Cause Certainty Type
THREAT_TYPE.E55,Threat Type
THREAT_TYPE.I4,Threat Type
TOPOGRAPHY_TYPE.E55,Place Topography Type
VULNERABILITY_TYPE.E55,Vulnerability Factors
