Id,Label,mergenode,businesstable
23,EFFECT_TYPE.S9,DAMAGE_OBSERVATION.S4,domains
24,EFFECT_TYPE_AUTHORITY_DOCUMENT.E32,EFFECT_TYPE.E32,
29,DISTURBANCE_EVENT.E5,DAMAGE_STATE.E3,
30,DISTURBANCE_CAUSE_CATEGORY_TYPE.E55,DISTURBANCE_EVENT.E5,domains
31,DISTURBANCE_CAUSE_CATEGORY_AUTHORITY_DOCUMENT.E32,DISTURBANCE_CAUSE_CATEGORY_TYPE.E55,
32,DISTURBANCE_CAUSE_ASSIGNMENT.E13,DISTURBANCE_EVENT.E5,
33,DISTURBANCE_CAUSE_BELIEF.I2,DISTURBANCE_CAUSE_ASSIGNMENT.E13,
34,DISTURBANCE_CAUSE_TYPE.I4,DISTURBANCE_CAUSE_BELIEF.I2,domains
35,DISTURBANCE_CAUSE_TYPE_AUTHORITY_DOCUMENT.E32,DISTURBANCE_CAUSE_TYPE.I4,
36,DISTURBANCE_CAUSE_CERTAINTY.I6,DISTURBANCE_CAUSE_BELIEF.I2,domains
37,DISTURBANCE_CAUSE_CERTAINTY_AUTHORITY_DOCUMENT.E32,DISTURBANCE_CAUSE_CERTAINTY.I6,
38,DISTURBANCE_CAUSE_ASSIGNMENT_ASSESSOR.E39,DISTURBANCE_CAUSE_ASSIGNMENT.E13,
39,DISTURBANCE_CAUSE_ASSIGNMENT_ASSESSOR_NAME.E41,DISTURBANCE_CAUSE_ASSIGNMENT_ASSESSOR.E39,strings
40,DISTURBANCE_EVENT_TIMESPAN.E52,DISTURBANCE_EVENT.E5,
41,DISTURBANCE_DATE_FROM.E61,DISTURBANCE_EVENT_TIMESPAN.E52,dates
42,DISTURBANCE_DATE_TO.E61,DISTURBANCE_EVENT_TIMESPAN.E52,dates
43,DISTURBANCE_DATE_OCCURRED_BEFORE.E61,DISTURBANCE_EVENT_TIMESPAN.E52,dates
44,DISTURBANCE_DATE_OCCURRED_ON.E61,DISTURBANCE_EVENT_TIMESPAN.E52,dates
45,DAMAGE_TREND_TYPE.E55,DAMAGE_STATE.E3,domains
46,DAMAGE_TREND_AUTHORITY_DOCUMENT.E32,DAMAGE_TREND_TYPE.E55,
47,OVERALL_DAMAGE_EVALUATION.E16,DAMAGE_SATATE.E3,
48,DAMAGE_EXTENT_TYPE.E55,OVERALL_DAMAGE_EVALUATION.E16,domains
49,DAMAGE_EXTENT_TYPE_AUTHORITY_DOCUMENT.E32,DAMAGE_EXTENT_TYPE.E55,
50,OVERALL_DAMAGE_SEVERITY_TYPE.E55,OVERALL_DAMAGE_EVALUATION.E16,domains
51,OVERALL_DAMAGE_SEVERITY_AUTHORITY_DOCUMENT.E32,OVERALL_DAMAGE_SEVERITY_TYPE.E55,
52,OVERALL_CONDITION.E3,CONDITION_ASSESSMENT.E14,
53,OVERALL_CONDITION_TYPE.E55,OVERALL_CONDITION.E3,domains
54,OVERALL_CONDITION_TYPE_AUTHORITY_DOCUMENT.E32,OVERALL_CONDITION_TYPE.E55,
55,OVERALL_PRIORITY_ASSIGNMENT.E13,OVERALL_CONDITION.E3,
56,OVERALL_PRIORITY_TYPE.E55,OVERALL_PRIORITY_ASSIGNMENT.E13,domains
57,OVERALL_PRIORITY_TYPE_AUTHORITY_DOCUMENT.E32,OVERALL_PRIORITY_TYPE.E55,
58,NEXT_ASSESSMENT_DATE_TYPE.E55,OVERALL_CONDITION.E3,domains
59,NEXT_ASSESSMENT_DATE_TYPE_AUTHORITY_DOCUMENT.E32,NEXT_ASSESSMENT_DATE_TYPE.E55,
60,CONDITION_REMARKS_ASSIGNMENT.E13,OVERALL_CONDITION.E3,
61,OVERALL_CONDITION_REMARKS_TYPE.E55,CONDITION_REMARKS_ASSIGNMENT.E13,domains
62,CONDITION_REMARKS_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_REMARKS_TYPE.E55,
63,OVERALL_CONDITION_REMARKS.E62,CONDITION_REMARKS_ASSIGNMENT.E13,strings
64,MODIFACATION.E11,HERITAGE_FEATURE.E24,
65,MODIFICATION_TYPE.E55,MODIFACATION.E11,domains
66,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.E32,MODIFICATION_TYPE.E55,
67,MODIFICATION_TIMESPAN.E52,MODIFACATION.E11,
68,MODIFICATION_DATE.E49,MODIFICATION_TIMESPAN.E52,dates
69,MODIFICATION_DESCRIPTION.E62,MODIFACATION.E11,strings
70,CONSTRUCTION_MATERIAL.E57,MODIFACATION.E11,
71,MATERIAL_AUTHORITY_DOCUMENT.E32,MATERIAL_TYPE.E57,
72,CONSTRUCTION_TECHNIQUE_TYPE.E55,MODIFACATION.E11,domains
73,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.E32,CONSTRUCTION_TECHNIQUE_TYPE.E55,
74,CONSTRUCTION_NOTE.E62,CONSTRUCTION_TECHNIQUE_TYPE.E55,strings
201,DESCRIPTION_ASSIGNMENT.E13,HERITAGE_PLACE.E24,
202,GENERAL_DESCRIPTION.E62,DESCRIPTION_ASSIGNMENT.E13,strings
203,GENERAL_DESCRIPTION_TYPE.E55,DESCRIPTION_ASSIGNMENT.E13,domains
204,GENERAL_DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,GENERAL_DESCRIPTION_TYPE.E55,
205,RIGHT.E30,HERITAGE_PLACE.E24,
206,DESIGNATION_EVENT.E65,RIGHT.E30,
207,DESIGNATION_TYPE.E55,DESIGNATION_EVENT.E65,domains
208,DESIGNATION_TYPE_AUTHORITY_DOCUMENT.E32,DESIGNATION_TYPE.E55,
209,DESIGNATION_TIMESPAN.E52,DESIGNATION_EVENT.E65,
210,DESIGNATION_TO_DATE.E61,DESIGNATION_TIMESPAN.E52,dates
211,DESIGNATION_FROM_DATE.E61,DESIGNATION_TIMESPAN.E52,dates
212,NAME.E41,HERITAGE_PLACE.E24,strings
213,NAME_TYPE.E55,NAME.E41,domains
214,NAME_TYPE_AUTHORITY_DOCUMENT.E32,NAME_TYPE.E55,
215,EAMENA_ID.E42,HERITAGE_PLACE.E24,uniqueids
216,EAMENA_ID_TYPE_DEFINITION.E55,EAMENA_ID.E42,
217,EAMENA_ID_DEFINITION.E31,EAMENA_ID_TYPE_DEFINITION.E55,
218,PRODUCTION.E12,HERITAGE_PLACE.E24,
219,DATE_INTERPRETATION_INFERENCE_MAKING.I5,PRODUCTION.E12,
220,INTERPRETATION_BELIEF.I2,DATE_INTERPRETATION_INFERENCE_MAKING.I5,
221,INTERPRETATION_TYPE.I4,INTERPRETATION_BELIEF.I2,domains
222,INTERPRETATION_TYPE_AUTHORITY_DOCUMENT.E32,INTERPRETATION_TYPE.I4,
223,INTERPRETATION_CERTAINTY.I6,INTERPRETATION_BELIEF.I2,domains
224,INTERPRETATION_CERTAINTY_AUTHORITY_DOCUMENT.E32,INTERPRETATION_CERTAINTY.I6,
225,FUNCTION_BELIEF.I2,FUNCTION_INTERPRETATION_INFERENCE_MAKING.I5,
226,FUNCTION_TYPE.I4,FUNCTION_BELIEF.I2,domains
227,FUNCTION_TYPE_AUTHORITY_DOCUMENT.E32,FUNCTION_TYPE.I4,
228,FUNCTION_CERTAINTY.I6,FUNCTION_BELIEF.I2,domains
229,FUNCTION_CERTAINTY_AUTHORITY_DOCUMENT.E32,FUNCTION_CERTAINTY.I6,
230,DATE_INTERPRETATION_INFERENCE_MAKING_ACTOR.E39,DATE_INTERPRETATION_INFERENCE_MAKING.I5,
231,DATE_INTERPRETATION_INFERENCE_MAKING_ACTOR_NAME.E41,DATE_INTERPRETATION_INFERENCE_MAKING_ACTOR.E39,strings
232,CULTURAL_PERIOD_BELIEF.I2,DATE_INTERPRETATION_INFERENCE_MAKING.I5,
233,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_BELIEF.I2,domains
234,CULTURAL_PERIOD_TYPE_AUTHORITY_DOCUMENT.E32,CULTURAL_PERIOD_TYPE.I4,
235,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,domains
236,CULTURAL_PERIOD_DETAIL_TYPE_AUTHORITY_DOCUMENT.E32,CULTURAL_PERIOD_DETAIL_TYPE.E55,
237,CULTURAL_PERIOD_CERTAINTY.I6,CULTURAL_PERIOD_BELIEF.I2,domains
238,CULTURAL_PERIOD_CERTAINTY_AUTHORITY_DOCUMENT.E32,CULTURAL_PERIOD_CERTAINTY.I6,
239,ARCHAEOLOGICAL_TIMESPAN.E52,DATE_INTERPRETATION_INFERENCE_MAKING.I5,
240,ARCHAEOLOGICAL_FROM_DATE.E61,ARCHAEOLOGICAL_TIMESPAN.E52,dates
241,ARCHAEOLOGICAL_FROM_DATE_AUTHORITY_DOCUMENT.E32,ARCHAEOLOGICAL_FROM_DATE.E61,
242,ARCHAEOLOGICAL_TO_DATE.E61,ARCHAEOLOGICAL_TIMESPAN.E52,dates
243,ARCHAEOLOGICAL_TO_DATE_AUTHORITY_DOCUMENT.E32,ARCHAEOLOGICAL_TO_DATE.E61,
244,HERITAGE_FEATURE_CLASSIFICATION_ASSIGNMENT.E17,HERITAGE_FEATURE.E24,
245,HERITAGE_CLASSIFICATION_TYPE.E55,HERITAGE_FEATURE_CLASSIFICATION_ASSIGNMENT.E17,domains
246,HERITAGE_CLASSIFICATION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_CLASSIFICATION_TYPE.E55,
247,HERITAGE_FEATURE_USE_TYPE.E55,HERITAGE_FEATURE_CLASSIFICATION_ASSIGNMENT.E17,domains
248,HERITAGE_FEATURE_USE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_FEATURE_USE_TYPE.E55,
301,POTENTIAL_STATE_PREDICTION.XX1,CONDITION_ASSESSMENT.E14,
302,POTENTIAL_IMPACT_TYPE.E55,POTENTIAL_STATE_PREDICTION.XX1,domains
303,POTENTIAL_IMPACT_TYPE_AUTHORITY_DOCUMENT.E32,POTENTIAL_IMPACT_TYPE.E55,
304,THREAT_EVENT.E5,POTENTIAL_STATE_PREDICTION.XX1,
305,SECONDARY_THREAT.E5,THREAT_EVENT.E5,
306,SECONDARY_THREAT_TYPE.E55,SECONDARY_THREAT.E5,domains
307,SECONDARY_THREAT_TYPE_AUTHORITY_DOCUMENT.E32,SECONDARY_THREAT_TYPE.E55,
308,THREAT_TYPE.E55,THREAT_EVENT.E5,domains
309,THREAT_TYPE_AUTHORITY_DOCUMENT.E32,THREAT_TYPE.E55,
310,RISK_PREDICTION_EVALUATION.XX2,POTENTIAL_STATE_PREDICTION.XX1,
311,RISK_LEVEL_BELIEF.I2,RISK_PREDICTION_EVALUATION.XX2,
312,RISK_LEVEL.I4,RISK_LEVEL_BELIEF.I2,domains
313,RISK_LEVEL_AUTHORITY_DOCUMENT.E32,RISK_LEVEL.I4,
314,RISK_LEVEL_CERTAINTY.I6,RISK_LEVEL_BELIEF.I2,domains
315,RISK_LEVEL_CERTAINTY_AUTHORITY_DOCUMENT.E32,RISK_LEVEL_CERTAINTY.I6,
316,RIKS_EVALUATION_ASSESSOR.E39,RISK_PREDICTION_EVALUATION.XX2,
317,RIKS_EVALUATION_ASSESSOR_NAME.E41,RIKS_EVALUATION_ASSESSOR.E39,strings
318,THREAT_PROBABILITY_TYPE.E55,RISK_PREDICTION_EVALUATION.XX2,domains
319,THREAT_PROBABILITY_TYPE_AUTHORITY_DOCUMENT.E32,THREAT_PROBABILITY_TYPE.E55,
320,RISK_EXTENT_TYPE.E55,RISK_PREDICTION_EVALUATION.XX2,domains
321,RISK_EXTENT_TYPE_AUTHORITY_DOCUMENT.E32,RISK_EXTENT_TYPE.E55,
322,RISK_SEVERITY_TYPE.E55,RISK_PREDICTION_EVALUATION.XX2,domains
323,RISK_SEVERITY_TYPE_AUTHORITY_DOCUMENT.E32,RISK_SEVERITY_TYPE.E55,
324,OBSERVED_VULNERABILITY_EXPOSURE.S15,RISK_PREDICTION_EVALUATION.XX2,
325,VULNERABILITY_TYPE.E55,OBSERVED_VULNERABILITY_EXPOSURE.S15,domains
326,VULNERABILITY_TYPE_AUTHORITY_DOCUMENT.E32,VULNERABILITY_TYPE.E55,
327,EXPOSURE.E62,OBSERVED_VULNERABILITY_EXPOSURE.S15,strings
328,RISK_PLAN.E100,POTENTIAL_STATE_PREDICTION.XX1,
329,MITIGATION_STRATEGY_TYPE.E55,RISK_PLAN.E100,domains
330,MITIGATION_STRATEGY_TYPE_AUTHORITY_DOCUMENT.E32,MITIGATION_STRATEGY_TYPE.E55,
331,MITIGATION_PRIORITY_ASSIGNMENT.E13,RISK_PLAN.E100,
332,MITIGATION_PRIORITY_TYPE.E55,MITIGATION_PRIORITY_ASSIGNMENT.E13,domains
333,MITIGATION_PRIORITY_TYPE_AUTHORITY_DOCUMENT.E32,MITIGATION_PRIORITY_TYPE.E55,
